s ../csv/Space BLOBz Tier S.csv 980
a ../csv/Space BLOBz Tier A.csv 7200
b ../csv/Space BLOBz Tier B.csv 11348
c ../csv/Space BLOBz Tier C.csv 17815
#,Address,BLZ,Points,S,A,B,C
147,0x506e09E43a9f36493b4Dd91944f6fccEd3681d5a,13525.935,14000,1,4,0,0
147,0x83bbe9CFCc205bb8E53cBa0b51d6db9386CE58B5,13525.935,14000,1,4,0,0
147,0x9e053EA35cEc4d1f274127A799676F85B15be92c,13525.935,14000,1,4,0,0
147,0xEc9c38f0A06ef3Ab2C549b3EB90c97e69E1E4E9F,13525.935,14000,1,4,0,0
147,0xF37A1e05106bd964E5095B328D6Ac5629a1f6b54,13525.935,14000,1,4,0,0
153,0x288A4e70Eba5d4f92e28F8CCc561E9fC947304A1,13487.289,13960,1,3,9,6
153,0xEF87243Fe29c2453F87549e02982108a3B832952,13487.289,13960,1,3,9,6
155,0x7babefFca22C2079569d573E7bFfbDA93368868e,13458.305,13930,1,3,9,3
156,0x0Ee5F43ec8C08e60bC07F8d1f12FCd6D6765e8F6,13419.659,13890,1,3,8,9
157,0x99b17456eD9C3EB3E2F4f292bCB515F8bb9F4640,13381.014,13850,1,3,8,5
158,0xB8e1f0f1E0AaB629eC07aE9e4FA680B58732c643,13361.691,13830,1,3,8,3
158,0xaEF1E5ab36D4f9F7227Fb216f0107F05CE2B1967,13361.691,13830,1,3,8,3
160,0xDa370FFb09574d557eEfAd2F41bd4fd3A53F27a0,13342.368,13810,1,3,8,1
161,0x8b2244bC61c64c2F5BF90D43C3B93ec73C786E3b,13265.077,13730,1,3,7,3
162,0x037B628d51b6e2921C85d098C823AFe33541bD6A,13236.093,13700,1,3,7,0
163,0xA2c0905a8a1E66CC1633D2031ee21B18D4A42fA6,13207.109,13670,1,3,6,7
164,0xd011e3875e3D0229b0E186E64295aa47994c40d1,13168.464,13630,1,3,6,3
165,0x45a1FE688c01CCfd4606aC31D1F7b10FE2aa875e,13149.141,13610,1,3,6,1
166,0xb16fD9113C315861b0E543c075400dA90451CfA6,13139.479,13600,1,3,6,0
167,0x88B0BE658E72C5518B37cE0A5625D3fD494dBAFA,13091.172,13550,1,3,5,5
168,0xF33797902a452D02F06d6EEf1ADf7FCE89630678,13013.881,13470,1,3,4,7
169,0xF7d36A57Cbe154fd3d9134CAC44AB49019180E12,13004.22,13460,1,3,4,6
170,0x161b1d3aB6cFd2b9F42Ec758FD5a9CEbD0808952,12975.236,13430,1,3,4,3
171,0x0c5FC2971D6234A6f66869c6Cf9b3e1F1cA48343,12917.268,13370,1,3,3,7
171,0x275f16513119F0F9Ab75146fFD97697AC0aEc459,12917.268,13370,1,3,3,7
171,0x2e7735AdB640c4A1f6C72657c66FbD892D487d5D,12917.268,13370,1,3,3,7
174,0x3bae0F9811fB3869267CaFf8B5a1bAF00a352935,12868.961,13320,1,3,3,2
175,0xBc0cbDb5D40aa7c24906f5D0ccaDe1DF844f70AF,12849.638,13300,1,3,3,0
176,0x65B5FD4f66e7Edd967B7cBeeD2dc7d2959f72646,12801.331,13250,1,3,2,5
176,0xCA248AfBcC09E474EcfbEe249bA89f90db32cb5a,12801.331,13250,1,3,0,25
178,0x0DBb9D306dDCd839f698Adad757C95d30538603A,12791.67,13240,1,3,2,4
179,0xF823F9D6f0E68E59B385B252d859782aD6BAdc72,12772.347,13220,1,3,2,2
180,0x9168a80AF210c511e4BE5b32d7de75124D0a4996,12743.363,13190,1,3,1,9
181,0xDd61Dc5373A90d2D2bbdfDC5FD8B847fdDF5cA0e,12724.04,13170,1,3,1,7
182,0x1998f627ad0F5904165b1796c4b111492365Dad2,12695.056,13140,1,3,1,4
182,0x6C45a98B88b48026Fd7bcc7f21D7C35a73c6ac99,12695.056,13140,1,3,1,4
182,0xa5F7A90bAD45094aa676f81D580D8B93284E8506,12695.056,13140,1,3,1,4
182,0xd9cf6912c1ae6626F83f28D2549Fd35c04ebc8bE,12695.056,13140,1,3,1,4
186,0x3CF282CD2DF98D8589598fdE938eEcD1Dac9671f,12675.733,13120,1,3,1,2
187,0xa758b893faaD655f6944277eb9ece3fE54820a78,12608.103,13050,1,3,0,5
188,0x8C58C739cc456091C0D1CeE900988059b32F4b19,12579.119,13020,1,3,0,2
189,0x54cF78C31739B97F87381b19937d13F04DC9819f,12559.796,13000,1,3,0,0
189,0x80092f94F8D3f9048624ed68F5a0DaBeAfB9FEDC,12559.796,13000,1,3,0,0
191,0xD069AC7b2dbE28460126952F9c890010E7470227,12550.135,12990,1,2,9,9
192,0xf46d36A35eCA074DAC347baB4F70D969E8Cbce59,12501.828,12940,1,2,9,4
193,0x2Ed27928F116323742dfa0AF99dacD680cD7C495,12492.167,12930,1,2,9,3
193,0x642a2deCc241887927B3bE5a3a4f857f0b877ccF,12492.167,12930,1,2,9,3
195,0x42EeD31a8BB26099364b301ae087ACFB037Ba864,12482.505,12920,1,2,9,2
196,0x2Bf7145B9dA25567569C15C57758E6A13BBc00f2,12453.521,12890,1,2,8,9
196,0xaf45524B83fAd0a9C21C4Bd3b19743151DAe7Cc1,12453.521,12890,1,2,8,9
198,0xbbc91096961EDD3659D136f8ab3cb8C35b6a88F6,12376.23,12810,1,2,8,1
199,0xF39F35f3eD43b2c2525c28ea17b7b6AaCAf1272a,12327.923,12760,1,2,7,6
200,0xbf20064C795362e7A87F6d21fe3C57Bd99e4a9A5,12318.262,12750,1,2,7,5
201,0x5D2e73DD5A395384961d60982A64CEa4Aea2dcFE,12298.939,12730,1,2,7,3
202,0xBf022B19A5D389b0129Bc6D0856051aD4838f986,12269.955,12700,0,12,7,0
203,0x6B2b94B69F03f3B3A917778e610F41F1318A5bf0,12183.003,12610,1,2,6,1
204,0x9dd711B0cB4430F429231E5Cb9940DBD1952a36f,12173.341,12600,1,2,6,0
204,0xc6F38CA3B9F12a7C9B17c6d8E832779adC4F548D,12173.341,12600,1,2,6,0
206,0x9C01672bCA7C85b7D0422B8cf93A1D4794DbF08A,12163.68,12590,1,2,5,9
207,0x1d1DC008ef7E70acc6251858710fE2C7D4e8e431,12154.018,12580,1,2,5,8
208,0x65DFd614C0Ab5fcBB63E459fA7bB0E90b7D9b17a,12125.034,12550,1,2,5,5
209,0xE2D435Be0c6A8380e55b6f7cb75a0b5E7D2565f9,12067.066,12490,1,2,4,9
210,0x7bae01034704381D3f7B09D3C1F1FBd17D71Acb4,12047.743,12470,1,2,4,7
211,0x0FB6B07c2E7e9EaDa6548b3DA9997A19A9658841,12018.759,12440,1,2,4,4
211,0x3E68FCA5b47bF0510DEBB0fa95d51c54B032A1C8,12018.759,12440,1,2,0,44
211,0x4913CFF514B8F77b0F1e89507E6CA835eFcd68f3,12018.759,12440,1,2,4,4
214,0x157Ea7465237654286Ba3FdfAeFD145cafc8859E,12009.098,12430,1,2,4,3
215,0x0EAeA94B84Ef62FA7E30624041051537561ea470,11893.161,12310,1,2,3,1
216,0xF851CbaEc4C1FDe75b25EF1C2C14EE2C327134AB,11883.5,12300,1,2,3,0
216,0xd1a5b91957530E1B3e9cfac1543467C60c352F69,11883.5,12300,1,2,3,0
218,0xdb6C66aca162d109304d59203E035F89708Bd5aa,11864.177,12280,1,2,2,8
219,0x76ce075e6CcB713099dEe965F4124fb204c741ab,11835.193,12250,1,2,2,5
220,0x05431cD62F011Cb44Ec803Fe4AC96FAC651CA494,11815.87,12230,1,2,2,3
220,0xbBA58B57dA6c6A89aA64Fc0D534Db505366dc5b9,11815.87,12230,1,2,2,3
222,0x30b33e450735Eb5A617C2a4B5C66323079730532,11796.547,12210,1,2,2,1
223,0x99FDd2a67ba5eC9fb98f451F0e88d0fbEc1eE121,11767.563,12180,1,2,1,8
223,0xdB75103d154F190734cBb4409d6Fe71169e2F7D3,11767.563,12180,1,2,1,8
225,0xB1AC95A15aB91E6746DDf1c1735F8E524aad8D19,11728.918,12140,1,2,1,4
226,0x3a79822d218D9ab9fd4E5c4c992665F0206bA84f,11651.626,12060,1,2,0,6
227,0x170C2001B1f97945407714A0eBFe169F45B02E42,11612.981,12020,1,2,0,2
227,0x323C52594De60819F2009d54dE7d7Ad8D4b1a8F2,11612.981,12020,1,2,0,2
227,0xaAC9c28e3DE6c2b2F26A005Ca87B8A5Bb29CA301,11612.981,12020,1,2,0,2
230,0x8ED07226eFac3F6e3543626aCCf302095008b613,11603.32,12010,1,2,0,1
231,0x157e14AEaA74Da672E1C6C36d4d86DC29cc436Cd,11593.658,12000,1,2,0,0
231,0x40594F31B9F2939851fBE64bFf6dff996c75Fbe7,11593.658,12000,0,12,0,0
231,0x8490dbCa29C51AAC0293c80A032D34c27FaA773a,11593.658,12000,1,2,0,0
231,0xF7b8de5F139F24f4760460475EcB61e0e1319cAf,11593.658,12000,1,2,0,0
235,0x96539455E49b8DE5738f85C2347cf7955775f502,11583.997,11990,1,1,9,9
236,0x431AE3dAa822837C8fDAf0119D6d3A2BAc9cCD36,11477.722,11880,1,1,8,8
236,0xcEC96fed4B9866fb3C0CaeB5a9C52Ebc693f8e53,11477.722,11880,1,1,8,8
238,0xE84414941937b8473CaB39d9dDF3a90e085EBBcf,11458.399,11860,1,1,8,6
239,0x3A505722A21c66c3143BBA976Bb83Ac82AEBfB48,11439.076,11840,1,1,8,4
240,0xb03c98Ce46Ceeb5489D017a17Ff1534cf155fD8d,11429.415,11830,1,1,8,3
241,0x36229b786b2Cc1cc79E77A225C22C8Cfed8c6c8D,11419.753,11820,1,1,8,2
242,0xEBCd250474C27cBaD3C56f3F34e08F97b370AC2d,11390.769,11790,1,1,7,9
243,0x3d7505CB6e263EBD907E3dCC49e98E0fF8e6406B,11352.124,11750,1,1,7,5
244,0x57Bbf050D8920E133869949C0C3803AFfc4015b2,11313.478,11710,1,1,7,1
245,0xAb5aCc4E241cE7D533B852AEF548ab867F589459,11294.155,11690,1,1,6,9
246,0xa7Ab74309974C46269E90b001a9a8858172a97b0,11284.494,11680,1,1,6,8
247,0xC7b2E791ee0491C8DF611d5CcfD87B17a0cB9897,11255.51,11650,1,1,6,5
248,0xc9e791996Fbc748DC6f5763488ddaDEd4FF925d5,11168.557,11560,1,1,5,6
249,0x209e39cEEdAaB165fB41E3c29BF3123be9e3d196,11139.573,11530,1,1,5,3
249,0x4FdbB5d791E3e1157e1e464D3862E21B0EFC0979,11139.573,11530,1,1,5,3
251,0x4215a881dfA38fA2FAced28778c9366eF3E5FBb6,11120.25,11510,1,1,5,1
252,0x6E703F9264375b88791c958053Be7834eD49d769,11062.282,11450,1,1,4,5
253,0x49000B54784C0359A9ed744a5f3505d39043e451,11033.298,11420,1,1,4,2
254,0x5418c2A09109c285365Fb307632C91F093d8Cc9E,11013.975,11400,1,1,4,0
254,0x556A257F8Ef54Cc0ab7EaBBfC74302047F528A6D,11013.975,11400,1,1,4,0
256,0x4C0F3359A4Ef3a4A2BBEe138A34777C102E40848,11004.314,11390,1,1,3,9
256,0xA0B9ba620028d60430Efc0d7654A2b16cf5c674A,11004.314,11390,1,1,3,9
256,0xbF77B8a74Db0844032cFfB3EEB487FC500765C4e,11004.314,11390,1,1,3,9
259,0x568f948b6F9476f92107445C24e090283D042C7C,10994.652,11380,1,1,3,8
259,0xEC9201F6e3C6140F3db587096E25D2f58849Fb6E,10994.652,11380,1,1,3,8
259,0xEd9bBf4711Eb9b8EE73f2B17aF40606069DEF6e2,10994.652,11380,1,1,3,8
262,0x59139d70FF6908b25C90f07B924CA80C51C43B2D,10984.991,11370,1,0,0,137
263,0x9e602c1920443F01Cb100a57A7F894df8Eb42f66,10917.361,11300,1,1,2,10
263,0xb6704dfe3AaD48EB2755ADDD7328654479787961,10917.361,11300,1,1,3,0
265,0x3Ed6dAE6cC1422e8759bfd2B4f4A253B5b6c6d84,10907.7,11290,1,1,2,9
266,0x1F27b0482ace1B82cf7A4f0c55dfc2A05dfCfD75,10888.377,11270,1,1,2,7
267,0x80a345735FBBEf501B08c36f1bDB96740D833f7F,10869.055,11250,1,1,2,5
268,0x034eb98b10a29Ea619973f0468D615F9b17E0a72,10859.393,11240,1,1,2,4
269,0xAcF74edE037468B5aaaD437fE8691E7f5eBF3441,10840.07,11220,1,1,0,22
270,0xA515F7fB260095eebC860425493b8761B4FC9abd,10830.409,11210,1,1,2,1
271,0x366F7B03ffa176C0226c2AC40c1615aD5BC649b3,10820.748,11200,1,1,2,0
271,0x6EA012A3249ccc35D020Dd4124b739956966699e,10820.748,11200,1,1,1,10
273,0xcC4Cf561Ff49Ec0B8529aa745C6225123dc8B499,10743.457,11120,1,1,1,2
274,0x3D635c7E8545710535544E816c54f82deB3BDDb3,10733.795,11110,1,1,1,1
274,0x4B12dA20fFB5a9FcEA8807DDc39cE4f0211a5133,10733.795,11110,1,1,1,1
